trend,january,february,march,april,may,june,july,august,september,october,november,december,,new_tags_taxonomy,shopstyle_taxonomy
embroidered pumps,50,70,90,110,70,70,70,50,70,110,50,,,,women.womens_shoes.pumps
mens leather drivers,30,50,20,70,30,20,20,50,10,40,50,,,,men.mens_shoes
jersey stripes,70,90,50,90,40,50,40,50,30,50,50,,,Trends - Fabric,women.womens_clothes
grease leggings,30,50,20,30,20,30,20,50,90,40,50,,,,women.womens_clothes.womens_pants.leggings
sleeveless trenchcoat,50,110,170,110,140,140,110,90,90,40,50,,,,women.womens_clothes.womens_outerwear.raincoats_and_trenchcoats
three button coat,30,30,20,10,10,20,40,30,40,50,50,,,,men.mens_clothes.mens_blazers_and_sport_coats
colorblock gown,90,210,140,110,70,50,90,90,90,70,50,,,Dresses - Formal: Embellishment,women.womens_clothes.dresses.evening_dresses
jersey prints,70,70,70,90,50,70,70,70,90,90,50,,,Trends - Fabric,women.womens_clothes
embossed tote,40,10,30,30,20,70,40,50,20,50,50,,,,women.handbags.tote_bags
skinny tapered pants,0,0,0,0,0,0,0,0,20,30,50,,,,women.womens_clothes.womens_pants
laminted,70,50,50,70,50,50,70,50,70,70,50,,,Trends - Fabric,
ostrich pumps,140,140,30,20,10,20,30,20,30,40,50,,,,women.womens_shoes.pumps
creeper soles,30,20,10,10,40,70,20,40,50,50,50,,,,women.womens_shoes
mens narrow jeans,40,30,40,50,20,30,30,30,40,70,50,,,,men.mens_clothes.mens_jeans
slouchy shorts,70,170,260,210,210,170,110,70,50,30,50,,,,women.womens_clothes.shorts
levis lace up boots,30,10,40,50,10,20,40,30,40,40,50,,,,men.mens_shoes.mens_boots
twin pact,40,40,50,40,30,40,50,20,30,30,50,,,,
lime lace dress,50,110,90,90,140,70,50,90,50,50,50,,,,women.womens_clothes.dresses
deconstructed denim,30,40,50,50,50,50,50,50,50,50,50,,,,women.womens_clothes.skirts
mens printed scarf,20,10,10,20,20,10,10,10,50,50,50,,,,men.mens_clothes.mens_accessories.mens_gloves_and_scarves
soleil bag,30,50,40,50,70,70,70,50,90,70,50,,,,women.handbags.shoulder_bags
vibrating puff,50,70,30,40,50,40,30,20,20,40,50,,,,
colorblock sandals,110,260,480,480,320,260,210,90,50,40,50,,,Shoes - Sandals: Embellishment,women.womens_shoes.sandals
leather trim skirt,50,90,50,10,10,30,20,50,90,110,50,,,,women.womens_clothes.skirts
mens button coat,20,30,20,20,10,10,10,50,70,70,50,,,Mens - Coats: Silhouette,men.mens_clothes.mens_blazers_and_sport_coats
colorblock flats,50,70,110,70,70,70,50,40,50,70,50,,,,women.womens_shoes.flats
side panel pants,50,40,40,40,20,50,50,30,40,50,50,,,,women.womens_clothes.womens_pants
emmyawards,50,40,90,40,40,110,50,720,50,70,50,,,Events - Red Carpet Hashtags,
velour sneakers,10,30,40,10,10,10,20,20,20,50,50,,,,women.womens_shoes.womens_sneakers
neckwarmer scarf,40,30,10,20,20,10,10,30,20,50,50,,,Cold Weather Accessories - Scarves: Classification,women.womens_clothes.womens_accessories.scarves
mcm bag charms,10,10,10,20,20,90,70,20,40,20,50,,,,women.handbags
tech duffel bag,10,30,10,30,10,30,20,40,20,30,50,,,,living.luggage.travel_duffels_and_totes
dull lips,50,50,50,40,40,40,40,30,40,30,50,,,,women.womens_beauty.makeup.lip_products
side panel jeans,40,30,30,50,40,10,40,50,30,70,50,,,,women.womens_clothes
layered gown,90,50,70,70,90,70,50,70,90,90,50,,,,women.womens_clothes.dresses
plus size knit,40,50,90,70,50,110,50,70,170,140,50,,,Clothing - Plus Size,women.womens_clothes.plus_sizes
charcoal shampoo bar,40,30,30,20,40,30,30,10,20,70,50,,,,
levis womens jean,10,20,30,10,20,20,10,30,30,20,50,,,,women.womens_clothes.jeans
relaxed shorts,110,140,140,260,320,210,140,110,90,70,50,,,Shorts - Silhouette,women.womens_clothes.shorts
embossed backpack,70,70,40,90,50,70,90,70,30,50,50,,,,women.handbags.backpacks
alexa boot,50,50,30,40,30,30,20,40,70,40,50,,,,women.womens_shoes.boots
lowlighting,40,40,50,50,40,50,50,50,70,40,50,,,Beauty - Contouring Techniques,women
mens dot socks,70,90,40,30,30,50,40,50,30,50,50,,,,men.mens_clothes.mens_underwear_and_socks.mens_socks
vstring panties,40,30,20,30,30,40,70,50,50,40,50,,,,
dyi lip balm,20,40,20,40,20,20,20,30,40,70,70,,,,
angled contouring brush,50,50,50,20,30,70,30,40,50,50,70,,,Beauty - Contouring Products,women.womens_beauty.beauty_tools.beauty_tools_brushes_applicators
cologne shower gel,20,20,20,20,20,30,70,30,40,30,70,,,,women.womens_beauty.bath_body.body_cleansers
side slit gown,20,70,70,40,20,50,110,70,40,110,70,,,,women.womens_clothes
crystal booties,110,50,50,50,30,20,70,30,40,70,70,,,Shoes - Booties: Embellishment,women.womens_shoes.boots
angled lip brush,40,40,40,20,10,50,30,50,70,40,70,,,,women.womens_beauty.beauty_tools.beauty_tools_brushes_applicators
mens beach tote,40,140,90,210,170,170,90,90,30,30,70,,,,men.mens_bags.mens_tote_bags
exotic bags,90,110,70,140,70,50,90,110,50,90,70,,,,women.handbags
501 skinny jeans,30,40,40,30,40,30,50,40,50,90,70,,,,
essential gift set,0,0,0,0,0,0,0,0,0,0,70,,,Trends - Gifting: Beauty Sets,women.womens_beauty.bath_body.bath_body_gift_sets
multicolor tote,20,140,70,90,90,30,40,20,30,50,70,,,,women.handbags.tote_bags
mens chino jogger,20,40,50,50,50,30,30,40,50,70,70,,,,men.mens_clothes.mens_pants.mens_chinos_and_khakis
mermaid wave hair,70,70,90,70,70,70,70,50,70,70,70,,,,women.womens_beauty.hair_care
reverse hoop earrings,90,40,50,50,20,40,30,40,30,70,70,,,,women.womens_clothes.jewelry.earrings
cc pact,0,0,0,0,0,0,50,40,40,70,70,,,,
womens jersey tee,50,50,70,30,50,70,70,90,40,70,70,,,,women.womens_clothes.womens_tops.tees_and_tshirts
tank gown,20,40,20,20,20,30,90,20,20,20,70,,,,women.womens_clothes.womens_intimates.gowns
mens straight pants,40,70,30,30,50,30,90,50,70,50,70,,,Mens - Casual Pants: Silhouette,men.mens_clothes.mens_pants.mens_casual_pants
chained necklace,70,30,40,20,50,30,40,40,40,50,70,,,,women.womens_clothes.jewelry.necklaces
laser cut flats,170,260,390,320,260,260,170,140,110,70,70,,,,women.womens_shoes.flats
cut out pump,70,50,70,40,40,50,50,30,40,50,70,,,,women.womens_shoes.pumps
body exfoliants,50,90,70,90,70,70,40,40,40,70,70,,,,women.womens_beauty.bath_body.body_treatments
lace illusion gown,70,50,40,50,40,50,50,90,30,90,70,,,Dresses - Formal: Embellishment,women.womens_clothes.dresses.evening_dresses
tech tote bag,20,20,30,10,10,30,70,50,30,70,70,,,,women.handbags.tote_bags
charmeuse top,50,90,70,40,50,70,50,50,70,90,70,,,,women.womens_clothes.womens_tops
pvc flats,50,50,90,50,90,70,40,70,70,70,70,,,,women.womens_shoes.flats
woven tank,90,70,70,70,110,110,110,110,50,50,70,,,,women.womens_clothes.womens_tops.tank_tops
tight curled hair,30,50,40,90,40,70,40,50,70,50,70,,,,women.womens_beauty.hair_care
studded accessories,50,50,50,90,90,90,40,50,170,90,70,,,,women.womens_clothes.womens_accessories
mens french terry,40,70,50,40,30,50,30,50,40,70,70,,,,men.mens_clothes
tribecafilm,70,210,390,70,50,40,50,30,70,50,70,,,Events - Red Carpet Hashtags,
godet gown,30,30,40,30,30,30,50,10,110,40,70,,,,women.womens_clothes.dresses.evening_dresses
eye brighteners,90,70,50,50,70,50,70,70,20,40,70,,,,women.womens_beauty.makeup.eye_makeup
block stripe,50,70,70,70,50,70,40,50,70,70,70,,,,women.womens_clothes
high waist shaping leggings,20,20,20,10,20,10,30,70,90,110,70,,,,women.womens_clothes.womens_pants.leggings
faceted drop earrings,110,20,20,40,10,20,20,50,70,30,70,,,,women.womens_clothes.jewelry.earrings
slim fit knit boxer,20,50,30,40,90,50,50,20,30,40,70,,,,men.mens_clothes.mens_underwear_and_socks.mens_boxers
faux suede jeans,30,20,20,20,10,10,50,50,90,110,70,,,,women.womens_clothes
bob from skechers,30,90,50,90,70,140,90,20,20,30,70,,,,
crocodile satchel,90,90,90,90,90,90,50,90,170,140,90,,,,women.handbags.satchels
pmfw,210,110,110,90,140,70,110,70,70,90,90,,,,
woven booties,50,70,50,50,40,50,140,110,170,140,90,,,,women.womens_shoes.boots
laser cut pumps,140,390,260,260,210,170,140,170,110,140,90,,,,women.womens_shoes.pumps
palm warmer,30,10,10,10,20,10,10,20,50,70,90,,,Cold Weather Accessories - Gloves: Classification,women.womens_clothes
colorblock pumps,110,140,140,110,110,140,90,90,70,110,90,,,,women.womens_shoes.pumps
embossed boots,110,30,40,30,40,30,30,50,110,140,90,,,Shoes - Boots: Embellishment,women.womens_shoes.boots
relaxed jean,70,70,50,50,50,40,90,70,50,90,90,,,,men.mens_clothes.mens_jeans.mens_relaxed_jeans
worker shirts,140,140,110,90,140,140,90,70,140,70,90,,,,men.mens_clothes.mens_shirts
french terry jumpsuit,110,90,90,70,50,70,50,110,90,110,90,,,,women.womens_clothes.womens_pants
academyawards,1900,210,90,70,50,70,70,70,70,70,90,,,Events - Red Carpet Hashtags,
double faced coat,50,30,20,30,10,40,70,70,110,140,90,,,,women.womens_clothes.womens_outerwear.coats
faux leather flats,110,110,70,90,90,90,70,90,110,70,90,,,,women.womens_shoes.flats
bear bag charm,90,70,20,30,40,20,30,30,40,110,90,,,,women.handbags
lemon lace dress,170,260,390,480,390,260,210,90,90,50,90,,,,women.womens_clothes.dresses
plastic band watch,70,40,50,50,30,50,70,70,50,110,90,,,,women.womens_clothes.jewelry.watches
fashiondiaries,110,110,110,110,140,140,140,110,170,170,90,,,,
cmaawards,70,140,260,30,110,40,110,90,140,2400,90,,,Events - Red Carpet Hashtags,
subtle contour,0,0,0,0,0,0,0,0,0,0,90,,,Beauty - Contouring Techniques,women.womens_clothes.womens_intimates
colored watch,70,140,50,70,170,70,70,70,110,170,90,,,Accessories - Watches: Material & Color,women.womens_clothes.jewelry
burgundy sequin,110,140,40,10,20,10,20,90,110,140,90,,,,women.womens_clothes
fuzzy bag charm,0,0,0,0,0,0,0,0,0,70,90,,,,women
teenchoiceawards,210,320,90,1600,4400,5400,9900,110,90,110,90,,,Events - Red Carpet Hashtags,
hatchi knit,140,90,110,70,110,70,90,110,170,110,90,,,,women.womens_clothes.plus_sizes
east west watch,0,20,50,40,30,30,30,40,40,90,90,,,Accessories - Watches: Classification,women.womens_clothes.jewelry
semi precious cufflinks,30,10,30,10,10,20,10,40,20,90,90,,,,men.mens_clothes.mens_watches_and_jewelry.mens_cuff_links
celebrity dressing,70,90,50,70,70,90,90,50,70,90,90,,,,women.womens_clothes.dresses
taffeta coat,70,70,40,50,50,50,50,50,70,90,90,,,Outerwear - Coats: Material,women.womens_clothes.womens_outerwear.coats
python satchel,110,110,30,30,30,110,110,90,110,70,90,,,,women.handbags.satchels
levis womens boots,30,40,20,10,20,10,30,50,140,110,90,,,,women.womens_shoes.boots
contrast coat,70,40,30,20,10,10,20,90,90,140,90,,,,women.womens_clothes.womens_outerwear.coats
dried star fruit,40,50,50,50,50,40,70,70,70,110,90,,,Health Snacks - Dried Fruits,women.womens_beauty.bath_body
oatmeal dress,260,140,70,50,70,40,70,90,110,140,90,,,,women.womens_clothes.dresses
zip continental wallet,50,90,20,30,70,50,50,90,40,90,90,,,Small Leather Goods - Classification,women.handbags.wallets
levis mens sneakers,110,50,50,50,90,90,70,70,90,50,90,,,,men.mens_shoes.mens_sneakers
city sandals,260,720,1000,880,880,480,260,110,90,50,90,,,Shoes - Sandals: Classification,women.womens_shoes.sandals
puff bag charm,0,0,0,0,0,0,0,0,0,70,90,,,,
mask pack sheet,140,170,140,140,110,170,140,140,90,140,90,,,Beauty - Korean,women.womens_beauty.skin_care.face_care
charcoal lace dress,170,140,140,140,140,170,140,140,140,110,90,,,,women.womens_clothes.dresses
felt sneakers,20,30,20,40,10,40,70,90,110,110,90,,,Shoes - Sneakers: Materials,women.womens_shoes.womens_sneakers
womens trucker jacket,40,40,50,30,50,70,70,50,90,110,90,,,,women.womens_clothes.jackets
gucci bag charms,20,30,20,30,30,20,20,40,70,50,90,,,,women.handbags
dot dress shirt,110,140,140,70,90,90,50,90,110,90,90,,,Mens - Dress Shirts: Classification,men.mens_clothes.mens_shirts.mens_dress_shirts
grey cotton suit,70,110,140,140,110,70,110,70,50,40,90,,,,men.mens_clothes.mens_suits
print gown,110,260,140,90,90,110,70,90,110,90,90,,,Dresses - Formal: Embellishment,women.womens_clothes
the peoples choice awards,40,20,20,20,20,10,10,20,70,110,90,,,,
harness booties,70,30,10,40,50,70,70,90,140,110,110,,,,women.womens_shoes.boots
mens jacquard sweater,20,10,0,10,10,10,10,10,10,10,110,,,,men.mens_clothes.mens_sweaters
bow sneakers,170,320,90,110,140,170,170,110,140,140,110,,,,women.womens_shoes.womens_sneakers
crocodile crossbody bag,50,20,30,20,20,40,40,50,90,70,110,,,,women.handbags.shoulder_bags
embroidered sneakers,90,140,140,90,70,90,110,70,90,70,110,,,,women.womens_shoes.womens_sneakers
corduroy flare jeans,90,90,20,20,10,20,50,90,140,70,110,,,,women.womens_clothes.jeans.flare_jeans
zip ankle booties,30,20,20,10,10,10,30,40,90,70,110,,,,women.womens_shoes.boots
short sleeve sport shirt,70,210,170,210,210,210,210,140,170,140,110,,,,men.mens_clothes.mens_shirts.mens_shortsleeve_shirts
print dress shirt,40,50,90,50,40,140,90,70,140,110,110,,,Mens - Dress Shirts: Classification,men.mens_clothes.mens_shirts.mens_dress_shirts
mens jersey polo,70,90,50,90,140,110,110,70,90,110,110,,,,men.mens_clothes.mens_shirts.mens_polo_shirts
poplin shirt dress,110,170,140,170,210,170,170,110,110,90,110,,,,women.womens_clothes.dresses.day_dresses
cold shoulder gown,720,390,90,90,70,40,90,50,110,70,110,,,,women.womens_clothes.dresses
studded coat,70,90,50,70,30,70,70,110,170,110,110,,,,women.womens_clothes.womens_outerwear.coats
cottoninc,170,140,140,90,110,110,140,140,140,110,110,,,,
point toe pumps,170,110,170,110,110,90,110,140,170,260,110,,,,women.womens_shoes.pumps
drawstring hobo bag,140,210,50,90,90,110,90,50,70,110,110,,,,women.handbags.hobo_bags
asymmetrical gown,140,170,110,110,90,70,110,110,110,140,110,,,Dresses - Formal: Silhouette,women.womens_clothes.dresses
mens suede drivers,50,50,90,90,110,140,70,70,70,70,110,,,,men.mens_shoes
orbit earrings,30,50,40,30,50,70,70,70,70,90,110,,,,women.womens_clothes.jewelry.earrings
violet lace dress,140,170,110,110,110,90,90,110,110,110,110,,,,women.womens_clothes.dresses
