,trend,total_volume,social_buzz,more_social,one_word,actual_word,actual_word_2,urban_term,brand_term,retail_distribution
977,instafashion,5900,1980,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1233,aactas,1960,12,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1297,sagawards,2080,51,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1471,photooftheday,15500,1297,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1485,picoftheday,23600,1938,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1618,lipscrub,12320,10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1635,instadaily,14780,1393,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1645,bbma,71100,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
1943,pandaboard,47200,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2248,cubeez,40900,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2419,hummingboard,90200,76,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2576,netduino,100700,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2645,aacta,21800,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
2882,udoo,143900,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
3855,tagsforlikes,483100,355,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
3913,kamut,722000,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
4671,glossybox,2581000,35,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
4711,rucksí_cke,2150000,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5189,bgextraordinary,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5277,nordstromvan,0,26,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5309,pregnancystyle,0,244,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5323,bridalweek,430,76,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5338,pregnantfashion,0,233,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5344,nextootd,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5347,nosebum,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5353,bridalfashionweek,150,896,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5362,cfdaswarovski,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5367,londonfashionwk,0,79,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5404,swarovskicollective,0,8,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5412,100gala,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5465,bifaawards,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5471,bumpchic,0,224,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5534,time100gala,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5540,pregnantstyle,0,244,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5548,nordstromto,0,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5608,nordstromott,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5620,nordstromyvr,0,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
5642,cfdanyfw,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,0
