,trend,total_volume,social_buzz,retail_distribution
58,liquid cushion,230.0,4,78
59,embossed sneakers,160.0,1,1103
60,french terry romper,330.0,0,17
61,halfway updo,250.0,0,0
62,printed cropped leggings,430.0,0,848
63,red mini pashli,160.0,0,13
64,loss of firmness,170.0,3,489
65,criticschoiceawards,230.0,3,0
66,paisley boardshorts,190.0,1,9
67,twist front gown,250.0,3,104
68,mens link necklaces,190.0,0,200
69,mens chains bracelets,220.0,0,967
70,tangerine lace dress,300.0,0,12
71,oriental cosmetics,520.0,0,12
72,mens zipper coat,20.0,0,783
73,knit shirtdress,390.0,0,220
74,501 skinny,230.0,0,15
75,azure lace dress,390.0,0,37
76,eye shawdow palette,190.0,78,0
77,sculpted dress,400.0,4,1145
78,5 swim trunks,1380.0,0,468
79,chain flats,360.0,0,250
80,python print top,490.0,0,88
81,leather top handle,180.0,10,21526
82,wool crepe coat,230.0,0,29
83,column midi dress,380.0,0,64
84,mpfw,620.0,0,0
85,mens bit drivers,280.0,0,91
86,sapphire lace dress,410.0,0,72
87,dried honeydew,220.0,0,2
88,womens pocket shirts,460.0,0,32313
89,mens star of david necklaces,140.0,0,10
90,cannesfilmfestival,690.0,5,0
91,pillow glasses,310.0,0,38
92,colorblock booties,220.0,0,17
93,cross back bathing suit,810.0,0,949
94,bolwing bag,200.0,0,0
95,acmawards,4070.0,337,0
96,mtvvma,5170.0,3,0
97,charmeuse pants,440.0,0,87
98,woven romper,1020.0,0,749
99,satchel messenger bags,550.0,0,76
100,woven jumpsuit,450.0,1,732
101,newyorkfashionweek,1540.0,34,0
102,burshed,330.0,0,7
103,mens jersey tee,260.0,0,26797
104,cable knit nail,80.0,0,11
105,charcoal blotting paper,200.0,0,4
106,milanfashionweek,610.0,31,0
107,petites top,220.0,1,8037
108,drape back gown,330.0,0,753
109,petite ankle leggings,360.0,0,64
110,mens linen sweater,940.0,0,1334
111,yoke pants,530.0,0,408
112,cmtawards,1880.0,0,0
113,mid city tote,540.0,0,20
114,kabocha chips,350.0,0,0
115,leather pouchette,230.0,0,19
116,macbook pro 11 sleeve,40.0,0,4
117,mens low top,540.0,0,18137
118,parisfashionweek,1280.0,61,0
119,levis mens denim,180.0,0,618
120,burberry bag charms,290.0,0,15
121,print sandals,1370.0,14,5941
122,mens classic pants,190.0,0,3366
123,twin cake powder,410.0,0,0
124,cage pump,380.0,0,408
125,trapeztaschen,570.0,0,0
126,full panel leggings,260.0,0,45
127,faille gown,340.0,12,124
128,crocodile flats,420.0,0,167
129,patchwork booties,270.0,0,19
130,crocodile embossed bag,70.0,0,466
131,mens tech bag,350.0,0,518
132,paperbag waist skirt,660.0,0,24
133,tonyawards,3850.0,23,0
134,radiant orchid lipstick,600.0,0,7
135,color blocked jacket,250.0,0,213
136,mens rose gold necklaces,370.0,0,15
137,chained bracelet,230.0,0,8895
138,calf hair gloves,170.0,0,12
139,woven satchel,780.0,3,689
140,7 swim trunks,1020.0,0,414
141,jersey sneakers,800.0,0,376
142,funnel collar jacket,370.0,0,129
143,embroidered pumps,810.0,0,197
144,mens leather drivers,390.0,0,761
145,jersey stripes,610.0,2,8240
146,grease leggings,430.0,0,30
147,sleeveless trenchcoat,1100.0,1,79
148,three button coat,330.0,0,3026
149,colorblock gown,1060.0,2,118
150,jersey prints,790.0,1,18421
151,embossed tote,410.0,6,1419
152,skinny tapered pants,100.0,0,910
153,laminted,650.0,46,9
154,ostrich pumps,530.0,0,52
155,creeper soles,390.0,0,310
156,mens narrow jeans,430.0,0,1081
157,slouchy shorts,1400.0,6,330
158,levis lace up boots,360.0,0,10
159,twin pact,420.0,0,0
160,lime lace dress,840.0,0,22
161,deconstructed denim,520.0,4,28
162,mens printed scarf,260.0,0,1423
163,soleil bag,640.0,1,116
164,vibrating puff,440.0,0,4
165,colorblock sandals,2350.0,3,325
166,leather trim skirt,560.0,2,547
167,mens button coat,360.0,0,19910
168,colorblock flats,700.0,0,115
169,side panel pants,460.0,0,801
170,emmyawards,1310.0,0,0
171,velour sneakers,270.0,0,21
172,neckwarmer scarf,290.0,0,122
173,mcm bag charms,360.0,0,12
174,tech duffel bag,280.0,0,68
175,dull lips,460.0,0,50
176,side panel jeans,440.0,0,326
177,layered gown,790.0,0,475
178,plus size knit,890.0,7,7394
179,charcoal shampoo bar,370.0,0,0
180,levis womens jean,250.0,0,521
181,relaxed shorts,1640.0,7,1975
182,embossed backpack,680.0,0,258
183,alexa boot,450.0,0,63
184,lowlighting,530.0,0,49
185,mens dot socks,530.0,0,627
186,vstring panties,450.0,0,0
187,dyi lip balm,390.0,0,0
188,angled contouring brush,510.0,1,347
189,cologne shower gel,370.0,0,30
190,side slit gown,670.0,0,984
191,crystal booties,590.0,0,31
192,angled lip brush,460.0,0,59
193,mens beach tote,1130.0,0,76
194,exotic bags,940.0,0,1237
195,501 skinny jeans,510.0,0,15
196,essential gift set,70.0,1,125
197,multicolor tote,650.0,0,382
198,mens chino jogger,500.0,0,368
199,mermaid wave hair,770.0,0,13
200,reverse hoop earrings,530.0,0,39
201,cc pact,270.0,0,0
202,womens jersey tee,660.0,0,23843
203,tank gown,370.0,3,77
204,mens straight pants,580.0,0,23505
205,chained necklace,480.0,0,54352
206,laser cut flats,2220.0,2,370
207,cut out pump,560.0,8,1784
208,body exfoliants,700.0,3,1153
209,lace illusion gown,630.0,0,364
210,tech tote bag,410.0,0,59
211,charmeuse top,700.0,0,415
212,pvc flats,720.0,0,234
213,woven tank,910.0,6,704
214,tight curled hair,600.0,0,151
215,studded accessories,840.0,0,2340
216,mens french terry,540.0,0,2385
217,tribecafilm,1100.0,10,0
218,godet gown,470.0,0,132
219,eye brighteners,650.0,8,680
220,block stripe,680.0,8,2513
221,high waist shaping leggings,470.0,0,58
222,faceted drop earrings,460.0,1,2305
223,slim fit knit boxer,490.0,0,30
224,faux suede jeans,480.0,0,138
225,bob from skechers,700.0,0,209
226,crocodile satchel,1080.0,0,208
227,pmfw,1160.0,0,0
228,woven booties,960.0,1,75
229,laser cut pumps,2080.0,2,319
230,palm warmer,330.0,0,27
231,colorblock pumps,1200.0,2,85
232,embossed boots,700.0,0,1044
233,relaxed jean,720.0,4,2544
234,worker shirts,1220.0,0,155
235,french terry jumpsuit,930.0,0,25
236,academyawards,2760.0,4,0
237,double faced coat,660.0,3,241
238,faux leather flats,990.0,0,1633
239,bear bag charm,570.0,0,19
240,lemon lace dress,2480.0,0,178
241,plastic band watch,680.0,0,387
242,fashiondiaries,1400.0,409,0
243,cmaawards,3480.0,32,0
244,subtle contour,90.0,8,63
245,colored watch,1080.0,1,16908
246,burgundy sequin,780.0,0,70
247,fuzzy bag charm,160.0,0,3
248,teenchoiceawards,22320.0,0,0
249,hatchi knit,1160.0,1,20
250,east west watch,460.0,0,17
251,semi precious cufflinks,360.0,0,41
252,celebrity dressing,830.0,1,363
253,taffeta coat,680.0,0,71
254,python satchel,890.0,0,174
255,levis womens boots,550.0,0,6
256,contrast coat,610.0,0,836
257,dried star fruit,690.0,0,1
258,oatmeal dress,1130.0,0,119
259,zip continental wallet,670.0,2,761
260,levis mens sneakers,810.0,0,97
261,city sandals,4820.0,19,816
262,puff bag charm,160.0,0,2
263,mask pack sheet,1470.0,0,49
264,charcoal lace dress,1520.0,0,58
265,felt sneakers,630.0,2,59
266,womens trucker jacket,690.0,0,174
267,gucci bag charms,420.0,0,58
268,dot dress shirt,1070.0,0,318
269,grey cotton suit,1000.0,0,225
270,print gown,1250.0,10,1615
271,the peoples choice awards,430.0,3,3
272,harness booties,790.0,0,31
273,mens jacquard sweater,210.0,0,327
274,bow sneakers,1670.0,0,96
275,crocodile crossbody bag,540.0,2,139
276,embroidered sneakers,1070.0,0,346
277,corduroy flare jeans,710.0,0,22
278,zip ankle booties,440.0,0,377
279,short sleeve sport shirt,1850.0,5,1600
280,print dress shirt,930.0,5,1015
281,mens jersey polo,1040.0,0,2605
282,poplin shirt dress,1560.0,1,403
283,cold shoulder gown,1830.0,2,147
284,studded coat,950.0,2,475
285,cottoninc,1400.0,0,0
286,point toe pumps,1550.0,3,10966
287,drawstring hobo bag,1120.0,0,259
288,asymmetrical gown,1270.0,4,661
289,mens suede drivers,920.0,0,250
290,orbit earrings,680.0,5,268
291,violet lace dress,1260.0,0,98
292,levis 501 jean,900.0,1,107
293,laser cut satchel,780.0,2,45
294,beaded coat,1050.0,1,103
295,print satchel,670.0,0,1133
296,faux leather pumps,780.0,0,1351
297,neoprene sneakers,1270.0,2,433
298,hair styling creme,1800.0,0,1197
299,retinoid eye cream,1150.0,0,11
300,white boyfriend cardigan,2800.0,0,15
301,cady dress,990.0,13,1179
302,oriental cream,620.0,1,2076
303,londonfashionweek,5610.0,48,0
304,cowl back gown,1160.0,5,123
305,yurba mate,1160.0,0,0
306,criticschoice,900.0,11,0
307,styleweek,1210.0,10,0
308,initial bag charms,180.0,0,27
309,olive lace dress,1100.0,0,105
310,lookoftheday,2030.0,610,0
311,tiered gown,1600.0,5,258
312,one shoulder romper,2700.0,0,66
313,mens boat neck sweater,670.0,0,16
314,strappy romper,1900.0,3,203
315,mens monk strap boot,360.0,0,50
316,eyelet shorts,8170.0,5,301
317,crocodile shoulder bag,1340.0,0,423
318,trapeze bags,900.0,0,580
319,day shoes,1640.0,17,21832
320,han bang,1190.0,0,4
321,caftan gown,1140.0,0,58
322,cleansing stick,2070.0,10,25
323,mens platinum earrings,720.0,0,8
324,printed tote,1620.0,7,2650
325,glossy lip,1200.0,49,533
326,plus size cropped jeans,3110.0,0,329
327,sun cushion,1660.0,3,124
328,mens poloshirt,780.0,0,1
329,oil absorbing paper,1740.0,0,100
330,python flats,1700.0,4,238
331,shearling sandals,900.0,1,47
332,disc ring,1380.0,1,233
333,nyfwm,7560.0,33,0
334,print skinny jeans,1540.0,5,682
335,grant driver,1590.0,0,16
336,linen romper,4280.0,4,114
337,teenchoice,43050.0,0,0
338,cowl neck gown,1860.0,2,60
339,levis womens shoes,1120.0,0,29
340,mens raglan sweater,580.0,0,828
341,origami nails,1260.0,0,2
342,styleblogger,1830.0,446,0
343,fabmom,1850.0,224,0
344,checkerboard shorts,1830.0,0,10
345,logo handbag,1210.0,0,31667
346,sebum powder,1120.0,7,65
347,python sandals,2590.0,9,700
348,crocodile pumps,2120.0,0,227
349,cascade earrings,1680.0,3,396
350,cropped boyfriend jeans,4750.0,9,527
351,statement sunglasses,1760.0,12,371
352,logo sneakers,1320.0,1,7463
353,rolled pants,1520.0,2,896
354,beautybox 5,2330.0,0,0
355,wide strap sandals,3800.0,2,3105
356,embossed bag,1540.0,7,9127
357,mens classic shirts,1620.0,0,39801
358,armparty,1640.0,90,0
359,pictureoftheday,1600.0,38,0
360,boxy shirts,1740.0,0,794
361,pebbled leather satchel,1270.0,1,879
362,printed belt,970.0,5,676
363,maternity capri pants,6180.0,0,38
364,patterned jackets,1570.0,0,5500
365,caftan sweater,560.0,0,25
366,mens nylon coat,490.0,0,1568
367,miss america competition,1910.0,3,1
368,mid rise bootcut,900.0,0,1266
369,cotton trunk,910.0,6,1132
370,ikat top,1700.0,0,377
371,three quarter sleeve coat,900.0,0,336
372,mens shield sunglasses,4090.0,0,300
373,latingrammy,5020.0,0,0
374,mens zipup hoodie,730.0,0,1
375,buckle pumps,1530.0,1,0
376,canvas pant,1380.0,0,1093
377,cropped trouser,2730.0,75,8935
378,womens relaxed jeans,1720.0,0,3172
379,cologne body wash,950.0,0,17
380,mens logo t shirt,1160.0,0,15714
381,mini bag charm,460.0,0,308
382,button down coat,970.0,1,412
383,printed handbag,2060.0,3,14758
384,perforated sneakers,7190.0,4,1627
385,plus size special occasion dress,7050.0,0,277
386,dark wash denim,1540.0,23,18700
387,french terry top,1520.0,1,419
388,nsale,5700.0,3,3
389,metgala,76240.0,44,0
390,levis womens shorts,4870.0,0,176
391,underwear hipsters,1080.0,0,162
392,island print,2030.0,12,1228
393,suede skinny jeans,720.0,0,88
394,activated charcoal shampoo,1370.0,0,0
395,ponte top,1590.0,2,349
396,embellished sneakers,1580.0,2,409
397,distressed flare jeans,2650.0,0,284
398,nylon sneakers,1500.0,3,1871
399,pvc sandals,2800.0,0,979
400,charcoal beauty,2180.0,29,218
401,ruffle gown,1780.0,12,634
402,crepe gown,1920.0,29,946
403,canvas booties,1840.0,0,64
404,single button coat,1030.0,0,12633
405,crop shorts,3400.0,9,1730
406,mens bead necklaces,1910.0,0,422
407,two tone satchel,1140.0,0,652
408,wide waist leggings,1290.0,0,288
409,colorblock bag,1940.0,0,1046
410,roll tab blouse,1360.0,2,512
411,nubuck booties,1290.0,0,138
412,faux leather sandals,5720.0,13,5857
413,cut out gown,2800.0,0,1281
414,mens wrap bracelets,1470.0,0,504
415,high necklace,910.0,5,2501
416,cable gloves,930.0,0,70
417,rider bag,2710.0,1,125
418,overnight masks,2060.0,5,204
419,rose gold tone necklace,1670.0,0,1563
420,perforated flats,5790.0,8,1344
421,tech briefcase,1280.0,0,72
422,american comedy awards,2890.0,0,1
423,iguana skin,1800.0,0,4
424,mens platinum bracelets,1200.0,0,60
425,jeweled sneakers,1420.0,0,42
426,mens pin,1890.0,1,3221
427,strap you,590.0,25,28262
428,cable crew,1340.0,2,496
429,lantern dress,2330.0,0,26
430,applique   gown,1610.0,0,352
431,mens ribbed socks,1380.0,0,3346
432,peopleschoiceawards,1270.0,0,0
433,d-frame sunglasses,4800.0,0,165
434,criss cross bathing suit,3110.0,0,369
435,terry jacket,2400.0,9,343
436,mens document case,1120.0,0,59
437,silk pencil skirt,3120.0,0,639
438,tribal print top,3820.0,3,316
439,sneaker bootie,1950.0,0,265
440,thin bangle,2320.0,2,269
441,silk sleepshirt,1250.0,0,29
442,chain booties,1130.0,0,40
443,mens print t shirt,1470.0,0,23324
444,wool romper,980.0,0,33
445,calf hair sneakers,1550.0,1,101
446,washed silk,2740.0,15,5677
447,cleansing mousse,2370.0,0,49
448,pompom charm,920.0,0,62
449,taper jean,2070.0,1,2477
450,spike collar necklace,1650.0,1,51
451,contour face palette,1400.0,0,136
452,air cushion compact,1200.0,0,16
453,pebbled leather bag,2380.0,3,5335
454,triple wrap leather bracelet,1610.0,0,77
455,chain sneakers,1800.0,1,86
456,501 shorts,4400.0,46,37
457,plus size button down,2220.0,0,594
458,fringe pencil skirt,2100.0,2,122
459,printed romper,5020.0,40,1662
460,people magazine awards,4410.0,0,11
461,deconstructed jeans,2940.0,0,132
462,501 jean,1680.0,183,107
463,cushion pact,1950.0,0,10
464,phillip lim pants,2430.0,0,489
465,crocodile sandals,2790.0,1,327
466,slim fit boxer,2280.0,0,277
467,reflective lenses,2570.0,6,415
468,foldover pants,3520.0,0,229
469,lip roller,1710.0,0,25
470,crystal sneakers,2080.0,0,220
471,patent sneakers,1710.0,0,804
472,silver tone bracelet,1830.0,1,9732
473,jersey romper,4460.0,8,581
474,amor naturals,890.0,0,52
475,slit midi skirt,2080.0,7,369
476,cotton blend leggings,1470.0,0,191
477,powder pact,2080.0,0,8
478,cotton bucket hat,6300.0,1,472
479,hair babylights,2220.0,0,0
480,perfume body wash,2020.0,0,72
481,sailor pant,2380.0,18,149
482,halter sweater,1550.0,0,47
483,georgette gown,2050.0,12,333
484,convertible sweater,1150.0,1,85
485,charcoal skin,2380.0,3,267
486,leather flared skirt,1340.0,0,253
487,crossover skirt,2970.0,0,139
488,mens print sweatshirt,740.0,0,2958
489,small accessories,1680.0,18,2350
490,modern fit dress shirt,2060.0,0,1104
491,animal print shorts,7060.0,0,68
492,mens poloshirts,1520.0,0,1
493,python booties,1400.0,1,30
494,mock neck pullover,1150.0,1,108
495,slim taper jeans,1870.0,8,972
496,mens oval sunglasses,1950.0,0,290
497,pouf hair,2300.0,0,17
498,nail supplements,4330.0,0,44
499,grooming gift set,740.0,0,616
500,mens diamond necklaces,1890.0,0,215
501,houndstooth dress shirt,1720.0,0,161
502,mens wrap sunglasses,5090.0,0,793
503,50 50 boot,1670.0,0,209
504,patchwork top,3060.0,7,400
505,envelope card case,1430.0,0,16
506,printed gown,2290.0,11,1615
507,mixed media dress,2170.0,8,371
508,mens comfort jeans,1560.0,0,3439
509,oversized clutches,2560.0,0,268
510,cotton boxer brief,1810.0,2,1232
511,bbmas,38300.0,269,0
512,mens striped polo,2790.0,0,3480
513,crepe coat,3310.0,2,345
514,open toe pump,4830.0,3,3413
515,mesh gown,2660.0,4,892
516,sateen jeans,1800.0,0,282
517,slit pencil skirt,2580.0,4,1396
518,pleated gown,3290.0,25,1761
519,mens acrylic sweater,850.0,0,2388
520,circle crossbody bag,1630.0,6,149
521,ladder lace,2660.0,0,322
522,color blocking dress,2180.0,0,1927
523,solid dress shirt,1710.0,0,943
524,super skinny jean,1790.0,5,3469
525,levis womens jacket,1770.0,0,77
526,tuxedo gown,2700.0,1,17
527,geometric sunglasses,3730.0,4,182
528,ruched gown,1840.0,3,1026
529,snakeskin print,3410.0,16,1130
530,linen hat,5550.0,5,219
531,goldtone watch,1570.0,0,2081
532,faux leather t shirt,2180.0,0,76
533,embellished bolero,2170.0,0,24
534,slip gown,1800.0,8,1662
535,plain shorts,3020.0,0,5082
536,cut out flats,6550.0,2,1283
537,printed denim,3630.0,7,4269
538,buckle sneakers,1830.0,2,334
539,satchel shoulder bags,1000.0,0,8522
540,mesh sandals,6350.0,0,1133
541,furry beanie,890.0,0,6
542,zip booties,1430.0,0,1856
543,bandage gown,2340.0,4,85
544,print pumps,3790.0,12,2887
545,mens moto boots,1340.0,0,43
546,sheath gown,3060.0,52,195
547,column gown,2570.0,13,726
548,patent shoulder bag,2410.0,2,835
549,cap toe sneakers,1740.0,2,1229
550,sporty leggings,1950.0,0,337
551,python tote,2760.0,2,232
552,mens ribbon belt,2530.0,0,28
553,pvc pumps,3540.0,0,236
554,womens skinny jean,1670.0,0,21759
555,tweed top,2070.0,5,273
556,skin imperfections,3160.0,10,1054
557,flap shoulder bag,2310.0,3,10287
558,womens slim pants,2160.0,0,15718
559,boxy coat,1440.0,0,196
560,brocade gown,2460.0,7,44
561,butterfly shorts,2910.0,0,44
562,trouser shorts,8260.0,2,9953
563,olive green lace dress,2030.0,0,20
564,scalloped hem,3610.0,31,6215
565,flared midi dress,2900.0,2,474
566,foldover booties,1380.0,0,11
567,zip sneakers,3240.0,3,1430
568,patchwork shoulder bag,2350.0,0,205
569,cologne body spray,1920.0,0,21
570,crocodile booties,2670.0,0,11
571,knit nail art,1020.0,0,0
572,petite denim,2980.0,8,2549
573,tylie,3470.0,0,5
574,north south tote,3130.0,13,139
575,laser cut tote,4590.0,5,137
576,subtle contouring,1410.0,3,63
577,deep v gown,2720.0,0,433
578,womens straight jeans,4070.0,0,15941
579,smoking coat,1940.0,0,43
580,pleated full skirt,2270.0,0,534
581,cheetah skirt,6210.0,0,58
582,styling balm,2570.0,0,121
583,plus size fit and flare,3510.0,0,1309
584,pashli bag,3130.0,2,303
585,taffeta jacket,3180.0,0,301
586,beauty drinks,3340.0,1,459
587,draped gown,2560.0,5,1149
588,patent tote,3130.0,0,394
589,jacquard gown,2300.0,11,197
590,fringe flats,3080.0,0,688
591,face luminizer,3090.0,0,215
592,mens rose gold bracelets,2300.0,0,676
593,laser cut clutch,4320.0,2,87
594,tech travel bag,1820.0,0,86
595,mens derby,2220.0,0,1972
596,guilloche watch,3390.0,0,799
597,perforated bag,5500.0,3,1517
598,mens low top sneakers,2710.0,0,2558
599,brown dial watch,3030.0,0,3139
600,jacquard suit,1910.0,0,96
601,boyfriend top,3730.0,5,1787
602,dark rinse jeans,2520.0,0,434
603,paneled leggings,1960.0,6,705
604,mens rectangle sunglasses,3520.0,0,865
605,modal top,3480.0,1,7307
606,performance tank,3830.0,8,438
607,cherry red dress,3060.0,0,119
608,buckle flats,3310.0,0,10
609,mens plaque belt,1930.0,0,451
610,leopardprint,3170.0,28,12
611,wrap gown,3310.0,2,831
612,silk white blouse,3230.0,0,1935
613,chain sandals,9810.0,2,797
614,ombre pumps,2250.0,0,66
615,bronzer cream,4050.0,6,112
616,mens cashmere sport coat,1640.0,0,711
617,flared top,4530.0,8,2550
618,cut out pumps,4690.0,2,1784
619,chevron coat,1550.0,0,104
620,womens slim jeans,2660.0,0,16188
621,scoop neck tank,3630.0,5,3090
622,classic fit dress shirt,2060.0,1,2415
623,point collar dress shirt,2030.0,0,1413
624,chalk stripe,3390.0,6,26
625,patent sandals,4450.0,17,5642
626,glossy eyelids,2290.0,0,4
627,mens cotton coat,1490.0,0,9539
628,mens mid tops,2920.0,0,2929
629,acetate watch,2380.0,1,389
630,beautyfix box,1500.0,17,0
631,tuxedo cape,2630.0,0,9
632,colorblock top,4500.0,5,1104
633,organza gown,3180.0,16,169
634,embellished purse,1750.0,1,4183
635,chambray romper,15000.0,17,125
636,silk midi skirt,3410.0,2,369
637,long underwear leggings,1320.0,0,15
638,bold lip,3120.0,151,541
639,fringe satchel,3020.0,2,284
640,machine knit,3160.0,1,26182
641,charcoal nails,1590.0,0,63
642,ankle tie sandals,16200.0,5,1634
643,mens crew neck t shirt,2660.0,0,9893
644,rubber flats,4210.0,0,15957
645,rose gold tone bracelet,1520.0,0,2752
646,high waisted boy shorts,3260.0,0,37
647,mmfw,2860.0,0,0
648,crew fleece,3060.0,10,134
649,midi wrap skirt,4040.0,4,221
650,international film festivals,4980.0,18,0
651,zipup hoodie,2450.0,0,7
652,distressed booties,2060.0,6,134
653,apron skirt,4910.0,0,31
654,athletic flats,6900.0,0,267
655,gold tone ring,3190.0,0,3251
656,jersey midi skirt,6440.0,2,204
657,mens levis pants,2800.0,0,176
658,pull on leggings,3830.0,1,989
659,waxed pants,2760.0,0,23
660,mens silk jacket,3330.0,0,1058
661,convertible satchel,3860.0,8,575
662,shirred top,6980.0,7,1878
663,mens cashmere blazer,1930.0,0,711
664,animal print jeans,5460.0,0,66
665,wide leg shorts,11620.0,3,1492
666,dot tie,4150.0,28,1531
667,mens chukka sneakers,2630.0,0,242
668,long boyfriend cardigan,3740.0,0,64
669,rubber sneakers,4310.0,0,22184
670,high low maxi skirt,7280.0,0,51
671,smocked top,8410.0,4,1042
672,leather bowler bag,2160.0,0,130
673,printed coat,2930.0,11,1401
674,save up to,3480.0,327,2330
675,chevron jacket,2160.0,2,154
676,betawards,31550.0,1,0
677,tofu chips,6090.0,0,3
678,mirrored lenses,4440.0,33,2640
679,twin cake,4560.0,0,65
680,petite underwear,2660.0,0,289
681,white bangles,4240.0,4,2484
682,mens buckle belt,5110.0,0,7248
683,studded satchel,3660.0,1,1233
684,single button blazer,4030.0,4,12351
685,lip pack,2470.0,5,454
686,fit pants,4960.0,33,67904
687,mens paisley socks,1680.0,0,51
688,makeup value set,1800.0,0,355
689,two button blazer,3000.0,4,9038
690,perfume rollerballs,1890.0,0,107
691,square toe flats,4480.0,0,854
692,embellished booties,1530.0,0,169
693,backpack charm,2830.0,0,86
694,perforated boots,7230.0,0,773
695,phillip lim sneakers,3130.0,0,39
696,emerald lace dress,4510.0,0,88
697,sleeveless gown,4240.0,13,5500
698,silver tone necklace,4160.0,0,7006
699,mens link bracelets,1750.0,0,3192
700,aqua lace dress,6220.0,2,217
701,instacute,1890.0,38,0
702,studded leather boots,3560.0,0,2469
703,cheetah bikini,7300.0,3,13
704,mixed media top,2230.0,4,720
705,cut out sandals,11180.0,8,4530
706,stripe suit,5270.0,10,1446
707,hydrating lipstick,2930.0,5,589
708,mens camera bag,2300.0,0,50
709,mens cap toe dress shoes,2650.0,0,105
710,cheetah top,5010.0,2,195
711,levis mens shorts,8120.0,0,126
712,sporty jacket,2360.0,2,687
713,iridescent pumps,4530.0,0,136
714,flare mini dress,3270.0,2,850
715,saffiano handbag,3470.0,0,3366
716,alligator watch,3240.0,0,791
717,cheetah blouse,2940.0,0,20
718,mtvema,62970.0,3,0
719,woven flats,7870.0,6,1476
720,charcoal gray dress,5040.0,0,362
721,mens ipad case,1610.0,0,131
722,vert skateboarding,5470.0,3,1
723,satin flats,6990.0,3,705
724,wax pants,2960.0,0,23
725,perforated handbag,6680.0,1,1517
726,leather double-wrap bracelet,1640.0,0,208
727,young hollywood awards,7950.0,0,0
728,coach bag charms,2270.0,0,29
729,zipper coat,2840.0,0,1162
730,knit nail,1430.0,0,374
731,regal blue,5610.0,2,470
732,square toe pumps,6590.0,0,910
733,velvet sandals,2670.0,4,313
734,mens bit loafers,3450.0,0,783
735,blossom dress,9640.0,6,626
736,cooking makeup,4220.0,0,13
737,digital print dress,9690.0,0,194
738,embroidered gown,4920.0,53,577
739,crocodile tote,2980.0,2,245
740,hot pink lace dress,7230.0,0,33
741,classic fit pants,3570.0,3,2406
742,tech messenger bag,3470.0,0,49
743,chambray jumpsuit,17370.0,23,86
744,cotton trunks,2780.0,7,1132
745,calf hair booties,2250.0,0,51
746,mini duffel bag,3960.0,0,92
747,plus size beaded dress,5330.0,0,471
748,mens white gold necklaces,2450.0,0,53
749,check dress shirt,3510.0,5,2220
750,crochet tank,17360.0,24,702
751,mixed media coat,2050.0,1,71
752,suede platform pumps,3160.0,0,1668
753,sport capri,8850.0,0,317
754,navy boyfriend cardigan,5270.0,0,17
755,embellished pumps,3500.0,5,2064
756,mini ring,5630.0,5,412
757,woven sneakers,4910.0,2,862
758,hiphugger panties,3570.0,0,5
759,crocodile clutch,5140.0,3,433
760,open back gown,5970.0,18,1011
761,relaxed pants,6150.0,4,4249
762,momtobe,3450.0,268,0
763,short sleeve gown,3360.0,3,899
764,printed sneakers,5380.0,23,2920
765,performance long sleeve,3920.0,1,845
766,mens wool sport coat,1800.0,0,8782
767,chloe suzanna,3070.0,0,10
768,jeweled pumps,3610.0,5,440
769,logo leggings,2810.0,0,993
770,high rise jean,3870.0,13,5024
